Reg_yr,Manufacturing_yr,Km_driven,Engine capacity,Prev_owners,Cylinders,Max Power,Seater,Ground_clearance,Bootspace,Fueltank,Airbags,Fueltype,RTO,Transmission,Insurance_expiry,Insurance_type,Drivetrain,Bodytype,Model,Brand,City,Price
2019,2019,"1,00,000 Kms",1197 cc,Second Owner,4,83.1bhp@6000rpm,5,170 mm,,37 Litres,2,Petrol,Ahmedabad,Automatic,,,FWD,hatchback,maruti baleno,maruti,ahmedabad,₹5 Lakh
Jun 2017,2017,"28,118 Kms",1197 cc,First Owner,4,83.1bhp@6000rpm,5,170 mm,,37 Litres,2,Petrol,Jaipur,Automatic,,,FWD,hatchback,maruti baleno,maruti,jaipur,₹4.87 Lakh
May 2018,2018,"35,000 Kms",1197 cc,First Owner,4,83.1bhp@6000rpm,5,170 mm,,37 Litres,2,Petrol,Kolkata,Manual,,,FWD,hatchback,maruti baleno,baleno 2015-2022,kolkata,₹4.75 Lakh
Sept 2018,2018,"82,183 Kms",1197 cc,First Owner,4,83.1bhp@6000rpm,5,170 mm,,37 Litres,2,Petrol,Pune,Manual,,,FWD,hatchback,maruti baleno,maruti,pune,₹5.10 Lakh
Jun 2016,2016,"79,579 Kms",1197 cc,First Owner,4,83.1bhp@6000rpm,5,170 mm,,37 Litres,2,Petrol,New Delhi,Manual,,,FWD,hatchback,maruti baleno,maruti,new delhi,₹4.10 Lakh
Nov 2021,2021,"6,977 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,170 mm,,37 Litres,3,Petrol,Kolkata,Manual,,,FWD,hatchback,maruti baleno,maruti,kolkata,₹6.28 Lakh
2024,2024,"1,000 Kms",1197 cc,First Owner,4,88.50bhp@6000rpm,5,,318  Litres,37 Litres,2,Petrol,Bangalore,Automatic,,,FWD,hatchback,maruti baleno,maruti,bangalore,₹8.50 Lakh
Mar 2019,2019,"45,000 Kms",1197 cc,First Owner,4,81.80bhp@6000rpm,5,170 mm,,37 Litres,3,Petrol,Kolkata,Automatic,,,FWD,hatchback,maruti baleno,maruti,kolkata,₹5.45 Lakh
Jan 2016,2015,"42,239 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,313  Litres,32 Litres,4,Petrol,Bangalore,Automatic,,,FWD,hatchback,maruti celerio,celerio,bangalore,₹3.70 Lakh
May 2019,2019,"39,000 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,165 mm,,35 Litres,2,Petrol,TN08,Automatic,,,FWD,hatchback,maruti celerio,celerio 2017-2021,chennai,₹4.70 Lakh
Mar 2015,2015,"19,865 Kms",998 cc,First Owner,3,67.04bhp@6000rpm,5,120 mm,,35 Litres,0,Petrol,Chennai,Manual,,,FWD,hatchback,maruti celerio,maruti,chennai,₹3.50 Lakh
May 2014,2014,"83,705 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,313  Litres,32 Litres,4,Petrol,Navi Mumbai,Manual,,,FWD,hatchback,maruti celerio,maruti,mumbai,₹2.73 Lakh
Feb 2022,2022,"11,381 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,,32 Litres,3,Petrol,Mumbai,Automatic,,,,hatchback,maruti celerio,maruti,thane,₹6.25 Lakh
Jan 2016,2016,"40,000 Kms",998 cc,First Owner,3,67.04bhp@6000rpm,5,120 mm,,35 Litres,2,Petrol,Bangalore,Automatic,,,FWD,hatchback,maruti celerio,maruti,bangalore,₹4.50 Lakh
Sept 2016,2016,"62,249 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,165 mm,,35 Litres,2,Petrol,Vijayawada,Manual,,,FWD,hatchback,maruti celerio,celerio 2017-2021,hyderabad,₹4.13 Lakh
May 2024,2024,"13,857 Kms",998 cc,First Owner,3,67.05bhp@6000rpm,5,165 mm,,35 Litres,2,Petrol,RJ60,Manual,,,FWD,hatchback,maruti celerio,celerio 2017-2021,jaipur,₹6.55 Lakh
Oct 2022,2022,"15,956 Kms",998 cc,First Owner,3,65.71bhp@5500rpm,5,,,32 Litres,3,Petrol,Mumbai,Automatic,,,,hatchback,maruti celerio,maruti,thane,₹5.73 Lakh
May 2024,2024,"1,351 Kms",1462 cc,First Owner,4,103.26bhp@6000rpm,7,,,45 Litres,2,Petrol,Ahmedabad,Automatic,,,FWD,muv,maruti ertiga,ertiga 2015-2022,ahmedabad,₹11.08 Lakh
2018,2018,"50,000 Kms",1462 cc,First Owner,4,103bhp@6000rpm,7,,,45 Litres,2,Petrol,Chennai,Manual,,,2WD,muv,maruti ertiga,maruti,chennai,₹7 Lakh
May 2022,2022,"28,119 Kms",1462 cc,First Owner,4,101.64bhp@6000rpm,7,,209  Litres,45 Litres,2,Petrol,Mumbai,Automatic,,,FWD,muv,maruti ertiga,maruti,thane,₹11.99 Lakh
Mar 2013,2013,"62,000 Kms",1373 cc,Second Owner,4,93.7bhp@6000rpm,7,185 mm,,45 Litres,2,Petrol,Thane,Manual,,,FWD,muv,maruti ertiga,maruti,pune,₹4.45 Lakh
Jan 2019,2019,"93,000 Kms",1462 cc,First Owner,4,103.26bhp@6000rpm,7,,,45 Litres,2,Petrol,Noida,Manual,,,FWD,muv,maruti ertiga,maruti,new delhi,₹7.30 Lakh
